                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.76696,                0.70676,                0.98646,                0.92463,                 0.9361,                0.94752,                0.70049,                0.89955,                0.68982,                 1.0233,             0.00050239,             0.00050239,             0.00050239
                     86,                0.70134,                0.63338,                0.96934,                0.92157,                0.92491,                0.95615,                0.68836,                 0.9104,                0.71078,                 1.0324,             0.00049506,             0.00049506,             0.00049506
                     87,                0.71048,                0.66367,                0.95824,                0.90384,                0.92297,                0.94976,                0.68983,                0.91313,                0.71769,                 1.0325,             0.00048773,             0.00048773,             0.00048773
                     88,                0.69479,                0.66337,                0.98149,                0.89949,                0.92697,                0.95041,                0.69953,                 0.8658,                0.71729,                 1.0251,              0.0004804,              0.0004804,              0.0004804
                     89,                0.68405,                  0.617,                0.96128,                0.90504,                0.89708,                0.94352,                0.70934,                0.85461,                0.70011,                   1.02,             0.00047306,             0.00047306,             0.00047306
                     90,                0.67888,                0.62154,                0.95772,                0.91229,                 0.9072,                 0.9325,                0.70969,                0.85218,                0.68833,                 1.0161,             0.00046573,             0.00046573,             0.00046573
                     91,                0.66337,                0.62069,                0.96515,                0.90099,                0.93123,                0.94023,                0.71281,                0.84289,                0.68438,                 1.0133,              0.0004584,              0.0004584,              0.0004584
                     92,                0.64169,                0.59393,                0.94729,                0.89954,                 0.9162,                0.94551,                0.70477,                0.85619,                0.67867,                 1.0424,             0.00045107,             0.00045107,             0.00045107
                     93,                0.67031,                 0.6334,                0.95923,                0.93413,                0.91796,                 0.9462,                0.70668,                0.86349,                0.67255,                 1.0504,             0.00044373,             0.00044373,             0.00044373
                     94,                0.68305,                0.62019,                0.96088,                0.89471,                0.92195,                0.94318,                 0.7021,                0.87605,                0.70557,                 1.0611,              0.0004364,              0.0004364,              0.0004364
                     95,                0.65148,                0.60394,                0.95971,                0.91531,                0.87961,                0.94242,                0.70495,                0.88074,                0.69546,                 1.0629,             0.00042907,             0.00042907,             0.00042907
                     96,                0.64404,                0.58482,                0.94467,                0.92806,                0.87658,                0.93587,                0.70387,                0.88065,                0.69236,                 1.0492,             0.00042174,             0.00042174,             0.00042174
                     97,                 0.6508,                0.58214,                0.95164,                0.89458,                  0.906,                0.93231,                0.71405,                0.86575,                0.68441,                 1.0474,              0.0004144,              0.0004144,              0.0004144
                     98,                0.66651,                0.59755,                0.96314,                0.89527,                 0.9308,                0.92769,                0.70906,                0.85438,                 0.6864,                 1.0322,             0.00040707,             0.00040707,             0.00040707
                     99,                 0.6637,                0.61919,                0.95283,                0.89456,                0.92731,                0.92726,                0.71061,                0.85356,                0.68999,                 1.0238,             0.00039974,             0.00039974,             0.00039974
                    100,                0.68442,                0.61551,                0.95995,                0.91226,                0.92483,                0.93876,                0.71439,                0.85918,                0.69918,                 1.0253,             0.00039241,             0.00039241,             0.00039241
                    101,                0.65287,                0.59075,                0.97452,                0.91044,                0.93844,                0.93953,                0.71422,                0.85294,                0.69213,                 1.0272,             0.00038507,             0.00038507,             0.00038507
                    102,                0.63306,                0.57291,                 0.9532,                0.93355,                0.92778,                0.94409,                0.70701,                0.84461,                0.65522,                 1.0387,             0.00037774,             0.00037774,             0.00037774
                    103,                0.66363,                0.59504,                0.95462,                0.93902,                0.89398,                0.94084,                0.71192,                0.83428,                 0.6403,                 1.0347,             0.00037041,             0.00037041,             0.00037041
                    104,                0.61721,                 0.5699,                0.94885,                0.93296,                0.90018,                0.94153,                0.71739,                0.83521,                0.64539,                 1.0378,             0.00036307,             0.00036307,             0.00036307
                    105,                0.61445,                0.56413,                0.95099,                0.92966,                0.88603,                0.93835,                0.71558,                0.82172,                 0.6528,                  1.028,             0.00035574,             0.00035574,             0.00035574
                    106,                0.62952,                0.58003,                0.95483,                0.87885,                0.91661,                0.93854,                 0.7215,                0.79502,                0.65561,                 1.0064,             0.00034841,             0.00034841,             0.00034841
                    107,                0.64237,                0.56647,                0.94485,                0.87128,                0.91512,                 0.9396,                0.73129,                0.79027,                0.64092,                 1.0003,             0.00034108,             0.00034108,             0.00034108
                    108,                0.62195,                0.55845,                0.94197,                0.89313,                0.90434,                0.93638,                0.72168,                0.82872,                0.64438,                  1.008,             0.00033374,             0.00033374,             0.00033374
                    109,                0.65659,                0.58574,                0.94429,                0.90606,                0.88926,                 0.9418,                0.71254,                0.84758,                0.65223,                 1.0138,             0.00032641,             0.00032641,             0.00032641
                    110,                0.62967,                0.60164,                0.95246,                0.89156,                0.92423,                 0.9473,                0.71059,                0.85486,                0.66288,                 1.0158,             0.00031908,             0.00031908,             0.00031908
                    111,                0.61405,                0.55746,                 0.9364,                0.93554,                0.89728,                0.95466,                0.71451,                0.85112,                0.66631,                 1.0105,             0.00031175,             0.00031175,             0.00031175
                    112,                0.61574,                0.55774,                0.92618,                0.87893,                0.93685,                0.95691,                0.71828,                0.84324,                0.66239,                 1.0047,             0.00030441,             0.00030441,             0.00030441
                    113,                0.57876,                0.56621,                0.93859,                0.88431,                0.94022,                0.94804,                0.70637,                0.84379,                0.66562,                 1.0127,             0.00029708,             0.00029708,             0.00029708
                    114,                0.59214,                 0.5481,                0.93411,                0.86522,                 0.9427,                0.94175,                0.71267,                 0.8521,                0.66363,                 1.0281,             0.00028975,             0.00028975,             0.00028975
                    115,                0.62095,                0.57533,                0.95492,                0.86195,                0.93972,                0.93937,                 0.7124,                0.84644,                0.65449,                 1.0249,             0.00028242,             0.00028242,             0.00028242
                    116,                0.63971,                0.57031,                0.94436,                0.89759,                0.90701,                 0.9446,                0.71991,                0.83586,                0.64631,                 1.0104,             0.00027508,             0.00027508,             0.00027508
                    117,                0.56461,                0.54107,                0.92486,                0.90318,                0.90716,                0.94858,                0.72131,                0.83823,                 0.6296,                 1.0068,             0.00026775,             0.00026775,             0.00026775
                    118,                0.61383,                0.56104,                0.92682,                0.90668,                0.92262,                0.95872,                0.73818,                0.84687,                0.60319,                 1.0054,             0.00026042,             0.00026042,             0.00026042
                    119,                0.63416,                0.56425,                0.94632,                0.91129,                0.95017,                0.96791,                0.73296,                0.85444,                0.60245,                 1.0103,             0.00025309,             0.00025309,             0.00025309
                    120,                0.57245,                0.53631,                0.93292,                0.94239,                0.91828,                0.96811,                0.73783,                0.84582,                0.61742,                  1.008,             0.00024575,             0.00024575,             0.00024575
                    121,                0.58986,                 0.5803,                0.94808,                0.91009,                0.95349,                 0.9677,                0.73374,                0.84136,                0.61712,                  1.011,             0.00023842,             0.00023842,             0.00023842
                    122,                 0.6034,                0.53562,                0.92755,                 0.9337,                0.92573,                 0.9648,                0.73942,                0.82629,                0.60952,                 1.0102,             0.00023109,             0.00023109,             0.00023109
                    123,                0.59029,                0.54447,                0.92285,                0.94977,                0.91478,                0.96316,                0.73907,                0.81875,                0.61138,                 1.0083,             0.00022376,             0.00022376,             0.00022376
                    124,                0.62005,                0.53873,                0.93637,                0.94029,                0.91905,                0.95717,                0.73784,                0.80269,                0.61212,                 1.0083,             0.00021642,             0.00021642,             0.00021642
                    125,                0.60165,                0.54513,                0.92956,                0.91566,                0.95875,                 0.9615,                0.73408,                0.80106,                 0.6108,                 1.0055,             0.00020909,             0.00020909,             0.00020909
                    126,                0.57686,                0.53254,                0.91779,                 0.9303,                0.92533,                0.95656,                0.74203,                0.79748,                0.61233,                 1.0005,             0.00020176,             0.00020176,             0.00020176
                    127,                0.60123,                0.54407,                 0.9448,                0.94984,                0.91659,                0.95697,                0.74077,                0.80534,                0.61089,                0.99954,             0.00019442,             0.00019442,             0.00019442
                    128,                0.58244,                0.52082,                0.94613,                0.94321,                0.92412,                0.96262,                0.74399,                0.82136,                0.61606,                 0.9987,             0.00018709,             0.00018709,             0.00018709
                    129,                0.61204,                0.54152,                0.93772,                0.93981,                0.92671,                0.96298,                0.75389,                0.81786,                0.61283,                0.99723,             0.00017976,             0.00017976,             0.00017976
                    130,                0.58075,                0.54369,                0.93923,                0.94218,                 0.9274,                0.96003,                0.74436,                0.79843,                0.61063,                0.99424,             0.00017243,             0.00017243,             0.00017243
                    131,                0.58079,                 0.5212,                0.91432,                0.94279,                 0.9274,                0.95909,                0.75264,                0.78736,                0.61042,                0.99067,             0.00016509,             0.00016509,             0.00016509
                    132,                0.57384,                0.51772,                0.92926,                0.92633,                0.91626,                 0.9608,                0.74176,                0.78159,                0.60646,                0.98674,             0.00015776,             0.00015776,             0.00015776
                    133,                0.58353,                0.53088,                0.92445,                 0.9221,                0.91875,                0.96037,                0.74539,                0.77773,                0.60825,                0.98443,             0.00015043,             0.00015043,             0.00015043
                    134,                0.57155,                0.52803,                0.93297,                0.87954,                0.95806,                0.95667,                0.74814,                0.78074,                0.60069,                0.98266,              0.0001431,              0.0001431,              0.0001431
                    135,                0.56086,                0.51551,                0.93255,                0.92624,                 0.9125,                0.95629,                0.75022,                 0.7898,                0.60273,                0.98497,             0.00013576,             0.00013576,             0.00013576
                    136,                0.57516,                0.51408,                0.92096,                0.93663,                 0.9174,                0.95323,                0.74335,                0.80024,                0.59891,                 0.9911,             0.00012843,             0.00012843,             0.00012843
                    137,                0.55707,                 0.5026,                 0.9191,                0.91976,                0.93027,                0.95282,                0.74484,                0.80227,                 0.5992,                 0.9945,              0.0001211,              0.0001211,              0.0001211
                    138,                0.58727,                0.53447,                0.93791,                  0.919,                0.93078,                0.95326,                0.73861,                0.80241,                0.59744,                0.99857,             0.00011377,             0.00011377,             0.00011377
                    139,                0.57309,                0.52127,                0.91785,                 0.9269,                0.92026,                0.95363,                0.73686,                0.80104,                 0.5969,                 1.0006,             0.00010643,             0.00010643,             0.00010643
                    140,                0.57156,                0.50637,                0.91043,                0.94076,                0.92026,                0.95478,                0.74266,                0.80448,                0.59852,                 1.0008,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    141,                0.52769,                0.55059,                0.90954,                0.94456,                0.92026,                0.95433,                 0.7405,                0.80584,                0.60212,                 1.0019,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    142,                0.50433,                 0.5151,                0.88724,                0.93722,                0.92026,                0.95325,                0.73345,                0.81381,                0.60786,                 1.0059,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    143,                0.51067,                0.51755,                 0.8807,                0.94528,                0.91877,                0.95205,                0.73409,                0.82042,                 0.6137,                 1.0078,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    144,                0.49594,                0.50565,                0.89732,                0.91244,                0.94479,                0.95122,                0.72797,                0.82767,                0.62134,                  1.011,             6.9771e-05,             6.9771e-05,             6.9771e-05
                    145,                0.54289,                0.54592,                0.91601,                0.91275,                0.94479,                0.94729,                 0.7259,                0.82632,                0.62411,                 1.0107,             6.2438e-05,             6.2438e-05,             6.2438e-05
                    146,                 0.5039,                0.52008,                0.88824,                0.89827,                0.95244,                0.94359,                0.72448,                0.82781,                0.61849,                 1.0143,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    147,                0.53251,                0.52296,                0.90078,                0.89632,                0.95349,                 0.9455,                0.72815,                0.82398,                0.61436,                 1.0141,             4.7773e-05,             4.7773e-05,             4.7773e-05
                    148,                0.49477,                0.50094,                0.87797,                0.92948,                0.92235,                0.94519,                0.72932,                0.82069,                0.60176,                   1.02,              4.044e-05,              4.044e-05,              4.044e-05
                    149,                0.50538,                0.49241,                0.89829,                0.92969,                 0.9226,                0.94429,                0.72637,                0.82207,                0.59985,                 1.0228,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    150,                 0.4865,                 0.4907,                0.88385,                 0.9304,                0.92352,                 0.9428,                0.72341,                0.81661,                0.59869,                   1.02,             2.5775e-05,             2.5775e-05,             2.5775e-05
